replicasConfiguradas,pedidosPorHoraConfigurados,duracionPicoMin,horizonteMin,personasArmadoConfiguradas,hamburguesasMinConfiguradas,hamburguesasMaxConfiguradas,porcentajeEspecialesConfigurado,porcentajePapasConfigurado,factorCongestionConfigurado,tipo,cocineros,replica,cantidadPedidos,pedidosTerminados,tiempoPromedioPedido,tiempoMaximoPedido,colaCoccionMaxima,colaArmadoMaxima,porcentajeMas20Min,porcentajeMas35Min,porcentajeMas120Min,utilizacionPlancha,utilizacionFreidora,utilizacionArmado,balancePedidos,balanceHamburguesas,mediaTiempoPromedio,desvioTiempoPromedio,ic95InferiorTiempoPromedio,ic95SuperiorTiempoPromedio,mediaTiempoMaximo,mediaColaArmadoMaxima,mejoraMediaVsUno,mejoraPorcentualVsUno,ic95InferiorMejora,ic95SuperiorMejora,significativa
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,0,27.0,27.0,20.68890911688894,38.91836185242282,0.0,5.0,44.44444444444444,3.703703703703704,0.0,11.26362983320708,8.816670649318743,58.633979335503,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,1,24.0,24.0,19.02773467034317,29.41734665457666,0.0,3.0,29.16666666666667,0.0,0.0,12.18284509752515,9.447182741246158,61.03025034979718,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,2,19.0,19.0,19.68597639889974,31.99919057271418,0.0,3.0,36.8421052631579,0.0,0.0,10.45940992354582,7.980918335722222,52.34122284941095,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,3,25.0,25.0,19.63109481345174,27.87781073883548,0.0,5.0,52.0,0.0,0.0,10.04364019957292,7.182637576213841,56.68035274031327,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,4,25.0,25.0,18.04642441208525,26.07147275369634,0.0,2.0,32.0,0.0,0.0,11.25445973910134,8.500365772577327,57.06381322030913,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,5,24.0,24.0,17.27329307967372,22.47609457275421,0.0,2.0,25.0,0.0,0.0,11.81403368459887,8.927436071162365,61.14170091012826,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,6,36.0,36.0,24.07153791084481,36.3166537753259,0.0,5.0,77.77777777777777,2.777777777777778,0.0,13.98162163603245,10.9934181053023,83.75758200671649,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,7,23.0,23.0,18.64460292453961,25.23456839890011,0.0,2.0,34.78260869565217,0.0,0.0,12.61158212296278,10.20918336445531,64.12978920018018,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,8,18.0,18.0,19.02542846321461,29.3335660805087,0.0,2.0,38.88888888888889,0.0,0.0,9.651874733782067,6.860851698479506,50.29254431663102,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,9,19.0,19.0,18.13706851713875,29.6354554098504,0.0,3.0,31.57894736842105,0.0,0.0,9.358698348765605,6.251102287306633,48.02036341504321,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,10,23.0,23.0,20.39206831128597,37.71437135361317,0.0,6.0,43.47826086956522,4.347826086956522,0.0,10.64917773148346,7.645916846638228,54.08150893841501,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,11,26.0,26.0,16.71429110469179,27.67058470834254,0.0,2.0,15.38461538461539,0.0,0.0,9.940218999009483,6.91219390927469,55.17086110747807,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,12,20.0,20.0,16.69872003754387,25.31661487365694,0.0,2.0,15.0,0.0,0.0,9.503440625568938,6.307122566812323,44.70527148253852,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,13,30.0,30.0,20.51462846189158,31.39254537316881,0.0,4.0,53.33333333333334,0.0,0.0,13.29795144030249,10.49754759047628,72.34480239833712,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,14,22.0,22.0,20.40880059192052,36.86959993340948,0.0,4.0,40.90909090909091,4.545454545454546,0.0,11.42779493342687,8.053192510945403,59.08194094923495,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,15,18.0,18.0,18.11079990419333,24.56239631593342,0.0,2.0,27.77777777777778,0.0,0.0,11.31942237527959,9.505718352624697,56.80911171925462,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,16,26.0,26.0,19.49372410629411,29.37085561877448,0.0,4.0,42.30769230769231,0.0,0.0,12.19491670612913,8.519216062324418,69.45031033141461,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,17,19.0,19.0,17.80106496188077,32.15372031300958,0.0,3.0,31.57894736842105,0.0,0.0,7.788882835355315,5.837540754924093,40.92072255838235,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,18,25.0,25.0,17.89898614985919,28.44548397759571,0.0,2.0,44.0,0.0,0.0,10.56284521978223,7.832098192894028,58.73909895635601,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,19,23.0,23.0,17.71985193256247,25.35422828311295,0.0,4.0,30.43478260869565,0.0,0.0,10.40812685872872,7.992216854739274,53.38733975281143,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,20,19.0,19.0,18.99932711260107,25.48848642094613,0.0,3.0,31.57894736842105,0.0,0.0,10.42557889952804,6.922703297947609,52.19919858332602,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,21,27.0,27.0,20.58838943376968,31.94138383558365,0.0,4.0,55.55555555555556,0.0,0.0,12.94779979960504,9.742267344540954,69.23175448264146,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,22,21.0,21.0,17.21525746391591,23.106578427708,0.0,2.0,19.04761904761905,0.0,0.0,10.92670647811469,7.964211108685373,54.22791657936578,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,23,23.0,23.0,16.15658557149424,23.43714320508193,0.0,1.0,21.73913043478261,0.0,0.0,9.562031062241491,7.804046781835413,51.81829977210846,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,24,27.0,27.0,21.16024638082817,29.9819211960012,0.0,3.0,55.55555555555556,0.0,0.0,12.25348453611495,8.627428940083536,69.01808672904197,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,25,19.0,19.0,16.11622095722235,21.918029126959,0.0,2.0,36.8421052631579,0.0,0.0,7.239421345638532,5.265436676276233,42.70014605882427,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,26,16.0,16.0,18.02024216486954,24.54404270448336,0.0,1.0,43.75,0.0,0.0,8.098548271580603,5.582403712333882,40.84533128268505,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,27,23.0,23.0,22.91995486968258,36.22981498160141,0.0,4.0,82.6086956521739,4.347826086956522,0.0,12.3236995205035,8.735434415108378,68.98785015519478,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,28,25.0,25.0,19.13230714670699,27.96346726156979,0.0,3.0,52.0,0.0,0.0,11.1839053144924,9.54867469440659,64.11886870268665,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,1,29,23.0,23.0,24.16775096891721,44.68676770235701,0.0,6.0,65.21739130434783,17.39130434782609,0.0,12.43926030815118,8.630645300399454,67.87706086798896,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,0,27.0,27.0,20.35084699160141,37.54040749999482,0.0,6.0,44.44444444444444,3.703703703703704,0.0,10.58004176629284,8.27164623140708,59.15339101903898,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,1,24.0,24.0,18.6668323747779,26.89802681053943,0.0,3.0,33.33333333333334,0.0,0.0,11.41547985838706,8.852530102162007,61.22963328588175,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,2,19.0,19.0,18.93946222880828,31.04782754615553,0.0,3.0,26.31578947368421,0.0,0.0,9.551395027290566,7.297584970756236,52.69174860537797,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,3,25.0,25.0,19.46672842421734,27.27518561298681,0.0,5.0,56.0,0.0,0.0,9.412457814109834,6.726196300436617,57.09554340833526,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,4,25.0,25.0,17.38128113218114,25.27102425275337,0.0,2.0,28.0,0.0,0.0,10.53551793987027,7.936626727993804,57.21955140974038,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,5,24.0,24.0,16.7176874144951,21.77785669282051,0.0,2.0,16.66666666666667,0.0,0.0,11.00334144761462,8.322940543844451,61.25360424851444,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,6,36.0,36.0,23.61597475553053,36.1678119752974,0.0,5.0,80.55555555555556,2.777777777777778,0.0,13.01956102565101,10.21036028472461,84.12515078548498,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,7,23.0,23.0,18.04675294736128,24.74996313609974,0.0,2.0,34.78260869565217,0.0,0.0,11.6683711824661,9.420251138707918,64.35370015311591,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,8,18.0,18.0,18.32313092435609,28.12027202630766,0.0,2.0,27.77777777777778,0.0,0.0,8.897129038684563,6.332012023496137,50.65480485384019,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,9,19.0,19.0,17.88252969398696,28.5263793285606,0.0,3.0,31.57894736842105,0.0,0.0,8.710650891078068,5.820573077138015,48.45211724956275,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,10,23.0,23.0,19.85877418548217,37.30961029827416,0.0,6.0,34.78260869565217,4.347826086956522,0.0,9.931460867102146,7.130917539191036,54.24451381991354,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,11,26.0,26.0,16.13326025815154,27.1053173367048,0.0,2.0,15.38461538461539,0.0,0.0,9.283814854217264,6.482140001469086,55.38300012608556,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,12,20.0,20.0,15.99167023025541,23.7471011966108,0.0,2.0,5.0,0.0,0.0,8.891888397062356,5.911777431940083,45.03647919466248,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,13,30.0,30.0,19.78453930370263,30.79192610132392,0.0,3.0,43.33333333333334,0.0,0.0,12.45610605233509,9.817721328544538,72.83107326256864,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,14,22.0,22.0,19.60356448960922,37.01116081697488,0.0,4.0,31.81818181818182,4.545454545454546,0.0,10.49753386267738,7.398331095656255,59.52417315073814,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,15,18.0,18.0,17.27832433532903,21.6014387723815,0.0,2.0,16.66666666666667,0.0,0.0,10.72161944340828,9.027959351911381,58.77934516251467,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,16,26.0,26.0,18.71714401251985,28.771734805029,0.0,3.0,38.46153846153846,0.0,0.0,11.3317197401428,7.910194406342739,69.88785830207243,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,17,19.0,19.0,17.32431099614577,31.96457131877199,0.0,3.0,26.31578947368421,0.0,0.0,7.300583345284601,5.474987127464471,40.97307844353595,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,18,25.0,25.0,17.19081172237716,26.82490937946439,0.0,2.0,36.0,0.0,0.0,9.766018318016291,7.244787277508527,59.04638987717571,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,19,23.0,23.0,17.3431539260391,24.96592582959475,0.0,4.0,26.08695652173913,0.0,0.0,9.754900460510331,7.462577837612247,53.54717945593591,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,20,19.0,19.0,18.21434912906629,24.58993370334703,0.0,3.0,26.31578947368421,0.0,0.0,9.684196456338986,6.414963889653999,52.63973815871316,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,21,27.0,27.0,19.64741872802326,31.03351663371837,0.0,4.0,44.44444444444444,0.0,0.0,12.09411787910362,9.086274536316607,69.6498165383413,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,22,21.0,21.0,16.58085504779815,21.4050707712331,0.0,2.0,9.523809523809524,0.0,0.0,10.16829097571286,7.401574283459777,54.45411734201322,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,23,23.0,23.0,15.47388445478397,21.20921411452384,0.0,1.0,13.04347826086956,0.0,0.0,8.88260985073461,7.241046300106832,51.86437693816753,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,24,27.0,27.0,20.60677810413613,29.4846591788206,0.0,4.0,51.85185185185185,0.0,0.0,11.32472313058505,7.977567176201793,69.1859162117712,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,25,19.0,19.0,15.57636453279783,20.97860176979181,0.0,2.0,10.52631578947368,0.0,0.0,6.806533133837119,4.96976891070312,42.90909704539337,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,26,16.0,16.0,17.21607808988631,23.14109114389041,0.0,1.0,31.25,0.0,0.0,7.481759347955006,5.156564828770348,41.40670059726832,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,27,23.0,23.0,22.21055804742561,33.39116463043348,0.0,4.0,65.21739130434783,0.0,0.0,11.30738394889506,8.036540118817113,69.60885106957824,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,28,25.0,25.0,18.53698756357215,27.12251123972931,0.0,3.0,44.0,0.0,0.0,10.32044738325257,8.803653492559192,64.287347937839,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,2,29,23.0,23.0,23.50544662053894,42.70384562590768,0.0,6.0,69.56521739130434,17.39130434782609,0.0,11.3960238118763,7.920834190321019,68.24425079067564,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,0,27.0,27.0,20.14186965627609,37.26050007674321,0.0,6.0,44.44444444444444,3.703703703703704,0.0,10.3375212351546,8.078474019168862,59.26002700151533,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,1,24.0,24.0,18.47199839435063,26.75529168948428,0.0,3.0,29.16666666666667,0.0,0.0,11.15857603250518,8.653448191411059,61.29638407993821,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,2,19.0,19.0,18.69781092312259,30.73070653730766,0.0,3.0,26.31578947368421,0.0,0.0,9.246014719017403,7.067768748018858,52.80963616852203,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,3,25.0,25.0,19.26484782645976,27.01243645688884,0.0,5.0,56.0,0.0,0.0,9.200003771528982,6.572559575976208,57.23529530542746,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,4,25.0,25.0,17.15956670554633,25.00420808577179,0.0,2.0,24.0,0.0,0.0,10.2949978210394,7.748029289177705,57.2716532180786,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,5,24.0,24.0,16.53248552610253,21.54511073284443,0.0,2.0,12.5,0.0,0.0,10.73245085371934,8.120950016574373,61.29099644300246,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,6,36.0,36.0,23.45051617364045,36.11943854872085,0.0,5.0,77.77777777777777,2.777777777777778,0.0,12.68267841868349,9.936594772737221,84.15339705971806,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,7,23.0,23.0,17.85515891564484,24.58842804850219,0.0,2.0,34.78260869565217,0.0,0.0,11.35250216466471,9.156048046314314,64.42868500512593,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,8,18.0,18.0,18.21476220289595,25.39296667074057,0.0,2.0,27.77777777777778,0.0,0.0,8.643125110134545,6.154035049408801,50.77672088498785,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,9,19.0,19.0,17.60851797776047,28.02441297236114,0.0,3.0,21.05263157894737,0.0,0.0,8.492037673277443,5.675337763156616,48.59776567986119,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,10,23.0,23.0,19.67850691131096,37.25175763849914,0.0,6.0,26.08695652173913,4.347826086956522,0.0,9.685695432037791,6.954565385906208,54.26789246699074,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,11,26.0,26.0,15.94954362923226,26.90987008823856,0.0,2.0,11.53846153846154,0.0,0.0,9.064323967235914,6.338356083027758,55.45672952445354,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,12,20.0,20.0,15.73956818743,23.22392997092986,0.0,2.0,5.0,0.0,0.0,8.686018978389367,5.778690723565093,45.14797505056572,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,13,30.0,30.0,19.06370315279625,30.59171967737818,0.0,3.0,36.66666666666666,0.0,0.0,12.23073621131353,9.634581305948803,73.34100948021914,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,14,22.0,22.0,19.35780398153221,36.93919372584969,0.0,4.0,31.81818181818182,4.545454545454546,0.0,10.18434440284192,7.177859983438005,59.67305873639295,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,15,18.0,18.0,17.0008324790413,21.25134268916054,0.0,2.0,16.66666666666667,0.0,0.0,10.40839900245226,8.773064761847596,58.87497334852108,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,16,26.0,26.0,18.47293677018073,28.5720278671132,0.0,3.0,34.61538461538461,0.0,0.0,11.03095750827439,7.698075517307664,69.9676516702333,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,17,19.0,19.0,17.1647600136259,31.88949476913837,0.0,3.0,21.05263157894737,0.0,0.0,7.13812001428536,5.354365444063401,40.9938965719417,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,18,25.0,25.0,16.98189765567099,26.28471784675429,0.0,2.0,36.0,0.0,0.0,9.498553419398375,7.047649035698906,59.14953591155455,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,19,23.0,23.0,17.15378091908022,24.8364916784233,0.0,4.0,26.08695652173913,0.0,0.0,9.536288243674992,7.285326030317805,53.60067226010987,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,20,19.0,19.0,17.95268980122176,24.29041613081804,0.0,3.0,21.05263157894737,0.0,0.0,9.434280258880584,6.243807554099755,52.78824177721861,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,21,27.0,27.0,19.44122622310442,30.73089423309552,0.0,4.0,40.74074074074074,0.0,0.0,11.80726149187537,8.865846151345753,69.79029482205625,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,22,21.0,21.0,16.36823065865907,21.20044644326914,0.0,2.0,9.523809523809524,0.0,0.0,9.914077816504893,7.212984144710869,54.52993753596775,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,23,23.0,23.0,15.27331965091548,21.02265626589754,0.0,1.0,8.695652173913043,0.0,0.0,8.655867524743906,7.053156907490001,51.87975420877161,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,24,27.0,27.0,20.36111788769186,29.36573498055391,0.0,4.0,51.85185185185185,0.0,0.0,11.0141314278551,7.760243684311051,69.24204090046734,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,25,19.0,19.0,15.3914220009643,20.66545931740084,0.0,2.0,10.52631578947368,0.0,0.0,6.661294051093049,4.870568900404587,42.97920255715899,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,26,16.0,16.0,16.94802339822497,22.67344062369285,0.0,1.0,31.25,0.0,0.0,7.272378139442431,5.012005390919136,41.59726852254571,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,27,23.0,23.0,21.86805798595855,33.20115626030213,0.0,4.0,60.8695652173913,0.0,0.0,10.96453387062219,7.800770864776569,69.81834329616233,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,28,25.0,25.0,18.31659009340036,26.84219256578058,0.0,3.0,40.0,0.0,0.0,10.03161882053563,8.55444227434244,64.34370460972498,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,corrida,3,29,23.0,23.0,23.23944768780416,42.18228250419314,0.0,6.0,52.17391304347826,17.39130434782609,0.0,11.04576554848497,7.682520818770435,68.36753185405193,0.0,0.0,,,,,,,,,,,
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,resumen,1,,,,,,,,,,,,,,,,19.148709597973724,2.0796775677160895,18.43805288306015,19.90417358928094,29.51428521408311,3.1333333333333333,0.0,0.0,0.0,0.0,base
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,resumen,2,,,,,,,,,,,,,,,,18.539516688831885,2.0846940950755846,17.830992232179963,19.30342694356882,28.417601984934723,3.1333333333333333,0.6091929091418374,3.1813783901464614,0.5440314678682662,0.6704638139888791,si_mejora
30,12.0,120.0,480.0,2,1,4,0.35,0.75,1.0,resumen,3,,,,,,,,,,,,,,,,18.30403311298818,2.066715751919612,17.625623604516353,19.06372918270753,28.07862416986179,3.1333333333333333,0.8446764849855427,4.411140503561266,0.7659330017123556,0.9262542131381292,si_mejora
